ema_span,vol_window,vol_mult,min_half_spread,inv_skew,pnl,sharpe,max_dd,final_pos
20,10,1.0,5.0,1.0,39.0,0.053866840716640975,-120.0,1
20,5,1.0,5.0,1.0,39.0,0.053866840716640975,-120.0,1
20,5,1.5,5.0,1.0,39.0,0.053866840716640975,-120.0,1
20,10,0.5,1.0,0.5,146.0,0.05265789440126127,-342.0,1
10,5,1.5,2.0,0.0,450.0,0.05236983165640437,-1020.0,34
10,5,1.5,1.0,0.0,450.0,0.05236983165640437,-1020.0,34
20,5,2.0,3.0,0.0,365.0,0.0518085579808273,-870.0,29
30,20,3.0,1.0,0.5,31.0,0.05176190503197201,-119.0,1
30,20,3.0,2.0,0.5,31.0,0.05176190503197201,-119.0,1
20,10,1.0,2.0,0.0,1465.0,0.05090665702274599,-1976.0,50
20,10,1.5,1.0,1.0,79.0,0.05026789248051202,-265.0,3
20,10,1.5,5.0,0.5,66.0,0.05019657540315713,-160.0,2
30,10,2.0,5.0,0.5,66.0,0.05019657540315713,-160.0,2
5,5,1.5,1.0,0.0,205.0,0.04984420075291648,-600.0,20
10,5,1.5,3.0,0.0,245.0,0.0494916865151838,-420.0,14
10,10,2.0,3.0,0.0,245.0,0.0494916865151838,-420.0,14
10,20,0.5,2.0,0.0,1494.0,0.048469621267811396,-2068.0,50
30,5,2.0,5.0,0.5,67.0,0.04845106598998196,-196.0,0
30,10,2.0,3.0,1.0,65.0,0.048339566447645275,-223.0,1
20,5,1.0,1.0,0.0,1415.0,0.04832253579593331,-2151.0,50
20,5,2.0,2.0,0.0,373.0,0.04822005996090171,-810.0,27
20,5,2.0,1.0,0.0,373.0,0.04822005996090171,-810.0,27
